powers old;powers name
electromagnetic contact lenses;electromagnetic powers
electromagnetic pulse;electromagnetic powers
electromagnetic spectrum vision;electromagnetic powers
electromagnetic spectrum vision;enhanced/specific vision
electromagnetism;electromagnetic powers
electromagnetokinesis;electromagnetic powers
electronic communication;DELETE
element and magical manipulation;manipulation powers
element and magical manipulation;magic powers
element breath;breath powers
embodiment of irresistible force;DELETE
emotion construct generation;construct powers
emotional and physiological control/manipulation;manipulation powers
emotional and physiological control/manipulation;control powers
emotional bridges;DELETE
emotional empathy;empathy/emphatical powers
emotional manipulation;manipulation powers
emp device;DELETE
empathic empowerment;empathy/emphatical powers
empathic metamorph;empathy/emphatical powers
empathic reading;empathy/emphatical powers
empathically driven teleportation;empathy/emphatical powers
empathically driven teleportation;teleportation
empathy/acidic secretion;empathy/emphatical powers
encephalo scanner;DELETE
encephalonic technology;techno powers
endurance;enhanced endurance
energized bone claws;claws
energy absorption & discharges;absorption powers
energy absorption & discharges;discharge powers
energy assimilation;energy powers
energy avatar;energy powers
energy beam;beams powers
energy beam;energy powers
energy channeling;energy powers
energy consumption;energy powers
energy control;energy powers
energy conversion;energy powers
energy detection;perception/detection powers
energy detection;energy powers
energy discharges;energy powers
energy discharges;discharge powers
energy duplication;energy powers
energy emission;energy powers
energy enhanced strike;energy powers
energy form (latent);form powers
energy form (latent);energy powers
energy infusion;energy powers
energy manipulation (formerly);manipulation powers
energy manipulation (formerly);energy powers
energy projectiles;energy powers
energy projection and absorption;projection powers
energy projection and absorption;absorption powers
energy pulse stinger;energy powers
energy resistance;resistance powers
energy shield;shields powers
energy shield;energy powers
energy shielding;shields powers
energy shielding;energy powers
energy spheres;energy powers
energy swords;energy powers
energy thread generation;energy powers
energy transfer;energy powers
energy transferal;energy powers
enhanced abilities;DELETE
enhanced agility and reflexes;enhanced agility
enhanced agility and reflexes;enhanced reflexes
enhanced balance;DELETE
enhanced blast power;blasts powers
enhanced condition;enhanced condition
enhanced constitution;DELETE
