powers old;powers name
toxin immunity;immunity to different things
toxin production;DELETE
tracking;DELETE
tractor beams;beams powers
transdimensional communication;DELETE
transferable consciousness;DELETE
transitional omni morph;DELETE
transmogrification;DELETE
transmorph;DELETE
transmutation of matter;matter powers
transmutation of matter;transmutation powers
trauma healing;DELETE
travel across the margins;travel powers
two dimensionality;dimensional powers
ultimate intangibility;intangibility
ultra beam;beams powers
ultra pulsors;DELETE
ultra voice;DELETE
uni vision;enhanced/specific vision
universal awareness;awareness
unknown physiology;DELETE
unlimited strength;above super (god, unlimited) strength
ursine transformation;transformation powers
uv immunity;immunity to different things
uv/infrared vision;enhanced/specific vision
valhalla;DELETE
vampire abilities;vampirism
vampire creation;vampirism
vapors of might;DELETE
variable charge;DELETE
variable energy generation;generation powers
variable energy generation;energy powers
vegetable control;DELETE
vegetation control;DELETE
vehicle possession;possession powers
vein and arteries webbing;webbing powers
venom beam;beams powers
venom beam;venom powers
venom blast;blasts powers
venom blast;venom powers
venom punch;venom powers
venom strike;venom powers
venom symbiote;symbiotic powers
venomous fangs;fangs
vibranium mesh skin;DELETE
vibration and air current sense via hair and webbing;webbing powers
vibratory shockwave generation;generation powers
virtual immortal;immortality
vision conjuration / divination;enhanced/specific vision
visions;enhanced/specific vision
vitakinesis;vitakinesis
vocal disorientation;DELETE
vocal pathokinesis;vocal pathokinesis
vocal trance;DELETE
vocal unconsciousness;DELETE
volcano creation;DELETE
vortex creation;DELETE
waking spell;spell casting
wall walking;wall crawling
war machine super armor;DELETE
war manipulation;manipulation powers
warfare expertise;DELETE
warp gaze;DELETE
warping speed;enhanced speed
wasp stings;stings
wasp's sting;stings
water blast;blasts powers
water blast;water powers
"water emission/""sprinkler system""";water powers
water leeching;water powers
wave modifying coating;DELETE
weak force manipulation;manipulation powers
weakness perception;perception/detection powers
weapon conjuring;conjuring powers
weapon creation;DELETE
weapon transformation;transformation powers
weaponized constructs;construct powers
weather insulated adaptation;weather powers
weather magic;magic powers
weather magic;weather powers
web slinging;DELETE
weightlessness;DELETE
wetware implants;DELETE
willpower/telepathic resistance;resistance powers
wind generation;generation powers
world destruction capability;DELETE
wormhole creation;DELETE
wrist mounted blasters;blasts powers
x gene disruptor field;DELETE
x gene stabilization;DELETE
x ray vision;enhanced/specific vision
mystic portals;portal creation
interdimensional & intradimensional portals;interdimensional powers
interdimensional vision;interdimensional powers
interdimensional travel;travel powers
astral vision;astral powers
astral projection materialization;astral powers
astral travel;astral powers
astral projection materialization;projection powers
mental link;link powers
molecular psychic linking;link powers
mystical link;link powers
technopathic link;link powers
molecular restructuring;molecular powers
self molecular manipulation;molecular powers
molecular psychic linking;molecular powers
molecular psychic linking;molecular powers
empathic empowerment;empowerment powers
mystical empowerment;empowerment powers
increased perceptions and reflexes;perception/detection powers
electric wave perception;perception/detection powers
magical wave perception;perception/detection powers
mystical conjuring;conjuring powers
vision conjuration / divination;conjuring powers
illusion conjuring;conjuring powers
biological webbing generation;webbing powers
biological\organic webbing generation;webbing powers
chemically induced webbing generation;webbing powers
psionic webbing;webbing powers
ionic vampirism;vampirism
cosmic earth;earth/geo powers
techno shifting;shapeshifting
blight blade projection;blades
techno organic wings;wings
cosmic wings;wings
psionic butterfly wings;wings
natural winged flight;wings
cosmic self sustenance;self sustenance
phased/intangible travel;intangibility
phased/intangible camouflage;intangibility
memory projection / telemorphic manifestation[6];memory powers
precognition & retrocognition;retrocognition
cosmic penance stare;penance stare
cosmic water;water powers
fire breathing;breath powers
smoke breathing;smoke powers
fire breath;breath powers
element and magical manipulation;elemental powers
element breath;elemental powers
cybernetic tentacles;tentacles
telepathic control over tentacles;tentacles
acid generation;acid powers
acidic poison generation;acid powers
empathy/acidic secretion;acid powers
duplication healing;duplication
energy duplication;duplication
metal adaptation;metal powers
telekinetically enhanced condition;enhanced condition
sting of kaine;stings
wall climbing and traveling;wall crawling
time traveling;time powers
